V(angstrom3)	P(Gpa)
4.082679661	280.4056055
4.090982489	277.8816744
4.099285318	275.3759304
4.066074004	285.8482041
4.074376832	283.2870522
4.082679661	280.7443429
4.049468347	291.3314427
4.057771176	288.7320699
4.066074004	286.1515397
4.03286269	296.8664955
4.041165519	294.2271691
4.049468347	291.6072245
4.016257033	302.4689349
4.024559862	299.7872955
4.03286269	297.1256935
3.999651376	308.1563773
4.007954205	305.4296344
4.016257033	302.7236641
3.983045719	313.9458038
3.991348548	311.1709899
3.999651376	308.4177188
3.966440062	319.851059
3.974742891	317.0253016
3.983045719	314.2218464
3.958137234	323.0017608
3.966440062	320.1455406
3.941531577	329.103855
3.949834406	326.192789
3.92492592	335.3294743
3.933228749	332.3620985
3.941531577	329.4187929
3.916623092	338.6474876
3.92492592	335.6475044
3.900017435	345.0401904
3.908320263	341.9832183
3.916623092	338.9510436
3.891714606	348.4169
3.900017435	345.3282395
3.875108949	354.9405573
3.883411778	351.7958809
3.891714606	348.6765368
3.866806121	358.3486806
3.875108949	355.1742874
3.858503293	361.7558067
3.866806121	358.5529338
3.841897636	368.4223243
3.850200464	365.1660375
3.858503293	361.93593
3.833594807	371.8686788
3.841897636	368.5860143
3.81698915	378.6670555
3.825291979	375.3319352
3.833594807	372.0239166
3.808686322	382.1811573
3.81698915	378.8210709
3.800383493	385.7296161
3.808686322	382.3451706
3.783777836	392.7589968
3.792080665	389.3216827
3.800383493	385.9132574
3.775475008	396.428516
3.783777836	392.9667375
3.792080665	389.5344564
3.767172179	400.1609549
3.775475008	396.674556
3.758869351	403.9668133
3.767172179	400.4553835
3.742263694	411.4251881
3.750566523	407.8566521
3.758869351	404.319542
3.733960866	415.435625
3.742263694	411.840063
3.750566523	408.2764161
3.725658037	419.5475902
3.733960866	415.9240605
3.742263694	412.3328584
3.717355209	423.7637016
3.725658037	420.1111601
3.733960866	416.491272
3.70905238	428.0802421
3.717355209	424.3975767
3.725658037	420.7478027
3.700749552	432.4860062
3.70905238	428.7720528
3.717355209	425.0911496
3.692446723	436.9622379
3.700749552	433.2157699
3.70905238	429.5024509
3.684143895	441.4839276
3.692446723	437.7036188
3.700749552	433.9565262
3.675841066	446.0224659
3.684143895	442.2068351
3.692446723	438.4244909
3.667538238	450.5493564
3.675841066	446.6967111
3.684143895	442.8774616
3.65923541	455.0404383
3.667538238	451.1488397
3.675841066	447.2908171
3.650932581	459.4799093
3.65923541	455.5471854
3.667538238	451.648311
3.642629753	463.8634218
3.650932581	459.8872496
3.65923541	455.9453015
3.634326924	468.1996351
3.642629753	464.1777036
3.650932581	460.1904633
3.626024096	472.5098415
3.634326924	468.4400922
3.642629753	464.4055661
3.617721267	476.8255954
3.626024096	472.706515
3.634326924	468.6232128
3.609418439	481.1846137
3.617721267	477.0155387
3.626024096	472.882768
3.60111561	485.6255265
3.609418439	481.4069049
3.617721267	477.2250304
3.60111561	485.9158408
3.609418439	481.6864504
3.592812782	490.5678907
3.60111561	486.2938185
3.609418439	482.0572045
3.584509953	495.3751382
3.592812782	491.0603154
3.60111561	486.7829436
3.584509953	495.9836096
3.592812782	491.6700026
3.576207125	501.0463448
3.584509953	496.7013659
3.592812782	492.3935786
3.576207125	501.8472618
3.584509953	497.512318
3.567904297	507.0697415
3.576207125	502.7115617
3.584509953	498.3897937
3.559601468	512.3283008
3.567904297	507.9497355
3.576207125	503.6069991
3.559601468	513.1880969
3.567904297	508.8259247
3.576207125	504.4991853
